Year,THER,Name,Location,Teaching,Research,Citations,Industry Income,International Outlook,AVG
2024,1500,"German Jordanian University",Jordan,17.8,11.4,40.6,19.5,69.1,31.68
2024,1500,"The Hashemite University",Jordan,13.2,14.2,40.6,25.4,53.1,29.3
2024,1500,"Mutah University",Jordan,29.7,11.5,27.6,20.9,61.2,30.18
2024,1500,"Yarmouk University",Jordan,19.9,12.9,41.5,20.8,53.1,29.64
2016,800,"University of Marrakech Cadi Ayyad",Morocco,17.4,6.3,12.1,29.2,42.7,21.54
2017,801,"University of Marrakech Cadi Ayyad",Morocco,14.1,6.8,23.4,34.2,41.9,24.08
2017,801,"Mohammed V University of Rabat",Morocco,21.8,7.7,9.8,37.6,31.3,21.64
2017,801,"Sidi Mohamed Ben Abdellah University",Morocco,21.9,6.2,2.4,32.1,21.1,16.74
2018,1000,"University of Marrakech Cadi Ayyad",Morocco,18.1,7.2,25,34.1,41.6,25.2
2018,1000,"Mohammed V University of Rabat",Morocco,24.4,7.9,20,37.8,30,24.02
2018,1001,"Sidi Mohamed Ben Abdellah University",Morocco,25.6,6.3,9.7,31.8,22,19.08
2019,1000,"University of Marrakech Cadi Ayyad",Morocco,15.8,7.8,28.6,36.3,42,26.1
2019,1000,"Mohammed V University of Rabat",Morocco,24.9,8.9,28.6,40.8,28.8,26.4
2019,1000,"Sidi Mohamed Ben Abdellah University",Morocco,22.2,7.2,40.8,34.1,24.7,25.8
2019,1001,"Université Hassan II de Casablanca",Morocco,14.7,6.9,19.5,34.4,38,22.7
2020,800,"Sidi Mohamed Ben Abdellah University",Morocco,25.2,7.6,53.2,34.4,23.6,28.8
2020,1001,"Université Hassan II de Casablanca",Morocco,15.9,7.6,24.8,36.4,34.4,23.82
2020,1001,"Ibn Tofaïl University",Morocco,18.1,8.9,17.9,35.5,25.3,21.14
2020,1001,"University of Marrakech Cadi Ayyad",Morocco,18,8.5,22.7,35.4,41.1,25.14
2020,1001,Mohammed V University of Rabat,Morocco,28.2,9.9,16.7,41.6,27.8,24.84
2021,1000,Sidi Mohamed Ben Abdellah University,Morocco,24,7.7,59,33.5,22.6,29.36
2021,1001,"Université Hassan II de Casablanca",Morocco,18.7,8.7,26.2,35.9,28.6,23.62
2021,1001,"Ibn Tofaïl University",Morocco,19,10.2,27.6,37.9,23.5,23.64
2021,1001,"University of Marrakech Cadi Ayyad",Morocco,17.8,10.2,25.9,34.5,41,25.88
2021,1001,Mohammed V University of Rabat,Morocco,27.2,10.3,14.8,41.6,27.9,24.36
2022,1000,Sidi Mohamed Ben Abdellah University,Morocco,24.6,9.3,54.9,34.8,23,29.32
2022,1200,"Ibn Tofaïl University",Morocco,23.9,10,40.6,38.2,24.8,27.5
2022,1201,Université Hassan 1er,Morocco,14.2,8.7,11.4,34.8,25.7,18.96
2022,1201,"Université Hassan II de Casablanca",Morocco,19,9.3,29,36.7,24.9,23.78
2022,1201,"University of Marrakech Cadi Ayyad",Morocco,18.9,10.4,25.7,35.9,39.7,26.12
2022,1201,Mohammed V University of Rabat,Morocco,28.7,11.6,18.8,43.6,26.7,25.88
2023,1200,"Ibn Tofaïl University",Morocco,18.8,10.9,41.9,38.9,25.4,27.18
2023,1200,"University of Marrakech Cadi Ayyad",Morocco,26.8,10.5,32.7,38.7,37.7,29.28
2023,1200,Sidi Mohamed Ben Abdellah University,Morocco,23.9,10.4,40.7,36.9,23.4,27.06
2023,1500,"Abdelmalek Essaâdi University",Morocco,27.4,9.5,16.2,36.9,28,23.6
2023,1500,"Université Hassan II de Casablanca",Morocco,19.4,8.6,30.3,38.6,24.6,24.3
2023,1500,Mohammed V University of Rabat,Morocco,30.4,13.3,17.4,45.4,27.9,26.88
2023,1500,"Université Chouaïb Doukkali",Morocco,14.4,10.3,29.9,38.5,25.4,23.7
2023,1501,Université Hassan 1er,Morocco,18,8.7,12.2,36.9,22.7,19.7
2024,1200,Sidi Mohamed Ben Abdellah University,Morocco,26.6,11.3,50.6,16.9,25.3,26.14
2024,1500,"Université Hassan II de Casablanca",Morocco,19.5,9.2,39.9,24.6,28.2,24.28
2024,1500,"Ibn Tofaïl University",Morocco,24.6,13,44.8,18.7,28.5,25.92
2024,1500,"University of Marrakech Cadi Ayyad",Morocco,20.5,11.5,36.5,21.6,40.2,26.06
2024,1500,Mohammed V University of Rabat,Morocco,29.1,15,32.2,37.3,32.1,29.14
2024,1501,"Abdelmalek Essaâdi University",Morocco,21.6,9.7,30.1,17.2,29.4,21.6
2024,1501,"Université Chouaïb Doukkali",Morocco,13.4,10.8,28.8,18.9,26.7,19.72
2024,1501,Université Hassan 1er,Morocco,24.9,10.3,19.2,16.6,23.6,18.92
2024,1501,"Université Mohammed Premier",Morocco,19.2,9.9,33.6,16.4,35.1,22.84
2024,1501,"Moulay Ismail University",Morocco,9.6,9.1,40.9,16.5,25.9,20.4
2024,1501,"Université Sultan Moulay Slimane",Morocco,11.8,9.8,29.9,21.1,21.5,18.82
